time, lat, lon, pm2.5
010/05/12T17:00:33,51.543288,-0.095612,3.35
010/05/12T17:00:41,51.543152,-0.095554,3.35
010/05/12T17:00:52,51.542972,-0.095456,3.35
010/05/12T17:01:01,51.542848,-0.095361,3.35
010/05/12T17:01:10,51.542713,-0.095268,3.35
010/05/12T17:01:17,51.542583,-0.095186,3.35
010/05/12T17:01:24,51.542436,-0.095104,3.61
010/05/12T17:01:28,51.542301,-0.095028,3.61
010/05/12T17:01:37,51.542171,-0.094899,3.61
010/05/12T17:01:47,51.542044,-0.094794,3.39
010/05/12T17:01:55,51.541918,-0.094689,3.66
010/05/12T17:02:09,51.541748,-0.094584,3.27
010/05/12T17:02:18,51.541603,-0.094485,3.27
010/05/12T17:02:25,51.541431,-0.094308,2.44
010/05/12T17:02:57,51.541302,-0.094382,2.88
010/05/12T17:03:04,51.541245,-0.094361,2.88
010/05/12T17:03:21,51.541208,-0.094130,2.36
010/05/12T17:03:28,51.541185,-0.093973,2.4
010/05/12T17:03:32,51.541109,-0.093768,2.4
010/05/12T17:03:40,51.540999,-0.093478,2.58
010/05/12T17:03:45,51.540923,-0.093293,2.58
010/05/12T17:03:50,51.540827,-0.093118,2.58
010/05/12T17:03:58,51.540725,-0.092951,2.88
010/05/12T17:04:08,51.540620,-0.092761,2.5
010/05/12T17:04:23,51.540484,-0.092736,2.6
010/05/12T17:04:36,51.540374,-0.092554,2.6
010/05/12T17:04:52,51.540241,-0.092359,2.79
010/05/12T17:05:01,51.540134,-0.092203,1.97
010/05/12T17:05:10,51.540018,-0.092036,2.43
010/05/12T17:05:18,51.539913,-0.091869,2.43
010/05/12T17:05:24,51.539819,-0.091704,3.01
010/05/12T17:05:31,51.539721,-0.091541,3.01
010/05/12T17:05:43,51.539581,-0.091454,3.31
010/05/12T17:05:44,51.539565,-0.091441,3.31
010/05/12T17:05:58,51.539447,-0.091215,2.87
010/05/12T17:06:15,51.539317,-0.091084,2.95
010/05/12T17:06:30,51.539153,-0.090842,2.32
010/05/12T17:06:37,51.539021,-0.090593,2.32
010/05/12T17:06:43,51.538941,-0.090429,3.23
010/05/12T17:06:53,51.538850,-0.090265,3.07
010/05/12T17:06:55,51.538839,-0.090248,3.07
010/05/12T17:07:14,51.538696,-0.090052,2.98
010/05/12T17:07:23,51.538576,-0.089915,2.34
010/05/12T17:07:28,51.538395,-0.089657,2.34
010/05/12T17:07:29,51.538395,-0.089657,2.34
010/05/12T17:07:43,51.538243,-0.089487,2.5
010/05/12T17:07:58,51.538119,-0.089257,2.65
010/05/12T17:08:00,51.538119,-0.089257,2.65
010/05/12T17:08:12,51.537980,-0.089237,2.55
010/05/12T17:08:28,51.537920,-0.089043,2.6
010/05/12T17:08:43,51.537888,-0.088747,2.36
010/05/12T17:08:58,51.537872,-0.088443,2.49
010/05/12T17:09:13,51.537829,-0.088136,3.17
010/05/12T17:09:37,51.537791,-0.087682,2.68
010/05/12T17:09:47,51.537552,-0.087324,3.03
010/05/12T17:09:52,51.537465,-0.087160,3.03
010/05/12T17:09:54,51.537366,-0.087009,2.8
010/05/12T17:10:03,51.537270,-0.086813,2.8
010/05/12T17:10:06,51.537268,-0.086722,2.8
010/05/12T17:10:20,51.537107,-0.086609,2.99
010/05/12T17:10:27,51.536975,-0.086656,2.65
010/05/12T17:10:36,51.536832,-0.086632,2.65
010/05/12T17:10:44,51.536693,-0.086609,2.73
010/05/12T17:10:52,51.536562,-0.086553,2.73
010/05/12T17:10:59,51.536431,-0.086434,2.56
010/05/12T17:11:06,51.536329,-0.086316,2.56
010/05/12T17:11:17,51.536180,-0.086330,2.85
010/05/12T17:11:27,51.536083,-0.086493,2.97
010/05/12T17:11:49,51.535996,-0.086314,2.69
010/05/12T17:11:56,51.536010,-0.086090,2.78
010/05/12T17:11:58,51.536013,-0.086076,2.78
010/05/12T17:12:06,51.536039,-0.085845,2.78
010/05/12T17:12:16,51.536105,-0.085624,2.84
010/05/12T17:12:47,51.536138,-0.085126,2.96
010/05/12T17:12:49,51.536139,-0.085063,2.96
010/05/12T17:12:57,51.536140,-0.084796,2.89
010/05/12T17:13:05,51.536144,-0.084535,2.89
010/05/12T17:13:15,51.536121,-0.084301,2.46
010/05/12T17:13:22,51.536088,-0.084059,2.46
010/05/12T17:13:30,51.536031,-0.083822,2.47
010/05/12T17:13:33,51.536010,-0.083759,2.47
010/05/12T17:13:46,51.535943,-0.083570,2.84
010/05/12T17:13:57,51.535875,-0.083357,2.75
010/05/12T17:14:07,51.535823,-0.083202,2.75
010/05/12T17:14:14,51.535744,-0.082925,2.31
010/05/12T17:14:20,51.535680,-0.082733,2.31
010/05/12T17:14:27,51.535583,-0.082590,2.33
010/05/12T17:14:35,51.535428,-0.082508,2.33
010/05/12T17:14:45,51.535260,-0.082485,3.04
010/05/12T17:14:52,51.535123,-0.082496,3.04
010/05/12T17:15:18,51.535057,-0.082286,2.89
010/05/12T17:15:32,51.535058,-0.082065,2.27
010/05/12T17:15:49,51.535058,-0.082065,2.94
